id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
7164,840,382,18,11,1,0,2020-01-08 11:19:44+00,,
7165,840,778,18,11,1,0,2020-01-08 11:19:44+00,,
7166,840,288,18,11,4,0,2020-01-08 11:19:44+00,,
7167,840,783,18,11,5,1,2020-01-08 11:19:44+00,,
7168,840,293,18,11,2,1,2020-01-08 11:19:44+00,,
7169,840,289,18,11,4,0,2020-01-08 11:19:44+00,,
7170,840,290,18,11,2,0,2020-01-08 11:19:44+00,,
7171,1093,292,18,11,1,-1,2020-01-08 11:20:33+00,,
7172,1093,783,18,11,5,-1,2020-01-08 11:20:33+00,,
7173,1093,306,18,11,2,-1,2020-01-08 11:20:33+00,,
7174,1093,380,18,11,1,-1,2020-01-08 11:20:33+00,,
7175,1093,278,18,11,1,-1,2020-01-08 11:20:33+00,,
7176,1093,781,18,11,4,-1,2020-01-08 11:20:33+00,,
7177,1093,381,18,11,4,-1,2020-01-08 11:20:33+00,,
7178,1091,292,18,11,1,1,2020-01-08 11:20:41+00,,
7179,1091,290,18,11,2,1,2020-01-08 11:20:41+00,,
7180,1091,293,18,11,2,0,2020-01-08 11:20:41+00,,
7181,1091,779,18,11,4,1,2020-01-08 11:20:41+00,,
7182,1091,306,18,11,2,0,2020-01-08 11:20:41+00,,
7183,1289,289,18,11,4,0,2020-01-08 11:24:47+00,,
7184,1289,382,18,11,1,1,2020-01-08 11:24:47+00,,
7185,1289,380,18,11,1,0,2020-01-08 11:24:47+00,,
7186,1289,779,18,11,4,-1,2020-01-08 11:24:47+00,,
7187,1289,783,18,11,5,1,2020-01-08 11:24:47+00,,
7188,1289,290,18,11,2,0,2020-01-08 11:24:47+00,,
7189,1289,292,18,11,1,0,2020-01-08 11:24:47+00,,
7190,634,382,18,11,1,1,2020-01-08 11:27:42+00,,
7191,1322,290,18,11,2,0,2020-01-08 11:37:11+00,,
7192,1322,380,18,11,1,1,2020-01-08 11:37:11+00,,
7193,1322,289,18,11,4,0,2020-01-08 11:37:11+00,,
7194,1322,779,18,11,4,0,2020-01-08 11:37:11+00,,
7195,1322,381,18,11,4,1,2020-01-08 11:37:11+00,,
7196,1322,293,18,11,2,-1,2020-01-08 11:37:11+00,,
7197,1322,385,18,11,1,-1,2020-01-08 11:37:11+00,,
7198,1353,380,18,11,1,0,2020-01-08 11:37:19+00,,
7199,1353,289,18,11,4,0,2020-01-08 11:37:19+00,,
7200,1353,779,18,11,4,0,2020-01-08 11:37:19+00,,
7201,1353,290,18,11,2,0,2020-01-08 11:37:19+00,,
7202,1353,781,18,11,4,0,2020-01-08 11:37:19+00,,
7203,1353,381,18,11,4,0,2020-01-08 11:37:19+00,,
7204,1353,293,18,11,2,1,2020-01-08 11:37:19+00,,
7205,1077,278,18,11,1,1,2020-01-08 11:40:15+00,,
7206,1077,288,18,11,4,-1,2020-01-08 11:40:15+00,,
7207,1077,290,18,11,2,-1,2020-01-08 11:40:15+00,,
7208,1077,292,18,11,1,-1,2020-01-08 11:40:15+00,,
7209,1077,306,18,11,2,-1,2020-01-08 11:40:15+00,,
7210,1077,382,18,11,1,-1,2020-01-08 11:40:15+00,,
7211,1077,293,18,11,2,-1,2020-01-08 11:40:15+00,,
7212,1083,385,18,11,1,0,2020-01-08 11:43:34+00,,
7213,840,289,18,11,4,0,2020-01-08 11:52:51+00,,
7214,840,290,18,11,2,0,2020-01-08 11:52:51+00,,
7215,840,292,18,11,1,0,2020-01-08 11:52:51+00,,
7216,840,777,18,11,4,0,2020-01-08 11:52:51+00,,
7217,840,381,18,11,4,0,2020-01-08 11:52:51+00,,
7218,840,306,18,11,2,1,2020-01-08 11:52:51+00,,
7219,840,779,18,11,4,0,2020-01-08 11:52:51+00,,
7220,840,278,18,11,1,0,2020-01-08 12:03:21+00,,
7221,840,782,18,11,1,1,2020-01-08 12:03:21+00,,
7222,840,293,18,11,2,0,2020-01-08 12:03:21+00,,
7223,840,781,18,11,4,0,2020-01-08 12:03:21+00,,
7224,840,779,18,11,4,0,2020-01-08 12:03:21+00,,
7225,840,778,18,11,1,0,2020-01-08 12:03:21+00,,
